"186","bertwollants","N-VA","1100.jpg","Bert","Wollants","1979-08-30","Lier","Federal Chamber of Representatives"
"187","veerlewouters","N-VA","142.jpg","Veerle","Wouters","1974-06-02","Riemst","Federal Chamber of Representatives"
"191","valeriedeom","PS","1569.gif","Valérie","Déom","1967-06-27","Namur",""
"193","thierrygiet","PS","1570.gif","Thierry","Giet","1958-07-21","Sprimont",\N
"196","stefaandeclerck","CD&V","1840.jpg","Stefaan","De Clerck","1951-12-12","Kortrijk",""
"197","rolanddefreyne","Open VLD","1563.gif","Roland","Defreyne",\N,"Gistel",\N
"200","carinavancauter","Open VLD","1494.gif","Carina","Van Cauter","1962-06-27","Herzele","Federal Chamber of Representatives"
"202","ingevervotte","CD&V","1573.gif","Inge","Vervotte","1977-12-27","",\N
"203","christosdoulkeridis","ECOLO","1824.jpg","Christos","Doulkeridis","1968-03-06","Bruxelles","Parliament of the French Community"
"205","evelynehuytebroeck","ECOLO","145.jpg","Evelyne","Huytebroeck","1958-05-02","Forest","Brussels Parliament"
"207","rudivervoort","PS","1711.jpg","Rudi","Vervoort","1958-11-20","Evere","Brussels Goverment"
"208","brunodelille","Groen!","1648.jpg","Bruno","De Lille","1973-07-02","Brussel","Brussels Parliament"
"209","brigittegrouwels","CD&V","148.jpg","Brigitte","Grouwels","1953-05-30","Brussel","Belgian Senate"
"210","guyvanhengel","Open VLD","1632.jpg","Guy","Vanhengel","1958-06-10","Evere","Brussels Goverment"
"211","karlheinzlambertz","SP","150.jpg","Karl-Heinz","Lambertz","1952-06-04","Eupen","Chair of a parliament"
"212","haraldmollers","ProDG","151.jpg","Harald","Mollers","1977-10-10","","German Goverment"
"213","oliverpaasch","ProDG","152.jpg","Oliver","Paasch","1971-10-21","Sankt Vith","German Goverment"
"214","isabelleweykmans","MR","153.jpg","Isabelle","Weykmans","1979-12-03","Eupen","German Goverment"
"215","olivierchastel","MR","887.png","Olivier","Chastel","1964-11-22","Charleroi","Chair of a party"
"216","philippecourard","PS","155.jpg","Philippe","Courard","1966-09-02","Hotton","Chambre fédérale des Représentants"
"217","eliodirupo","PS","156.jpg","Elio","Di Rupo","1951-07-18","Mons","Chair of a party"
"218","jeanpascallabille","PS","157.jpg","Jean-Pascal","Labille","1961-02-23","Liège",""
"219","sabinelaruelle","MR","158.jpg","Sabine","Laruelle","1965-06-02","Gembloux",""
"222","didierreynders","MR","2391.jpg","Didier","Reynders","1958-08-06","Uccle","Federal Goverment"
"223","melchiorwathelet","cdH","1439.jpg","Melchior","Wathelet","1977-09-30","Verviers",""
"224","hendrikbogaert","CD&V","163.jpg","Hendrik","Bogaert","1968-08-30","Jabbeke","Federal Chamber of Representatives"
"227","monicadeconinck","sp.a","166.jpg","Monica","De Coninck","1956-03-21","Ekeren","Federale Kamer van Volksvertegenwoordigers"
"228","pieterdecrem","CD&V","575.jpg","Pieter","De Crem","1962-07-22","Aalter","Federal Goverment"
"229","alexanderdecroo","Open VLD","168.jpg","Alexander","De Croo","1975-11-03","Brakel","Federal Goverment"
"232","servaisverherstraeten","CD&V","171.jpg","Servais","Verherstraeten","1960-01-29","Mol","Federal Chamber of Representatives"
"233","andreantoine","cdH","1636.jpg","André","Antoine","1960-02-03","Perwez","Chair of a parliament"
"234","rudydemotte","PS","173.jpg","Rudy","Demotte","1963-06-03","Tournai","Government of the Federation Wallonia-Brussels"
"235","carlodiantonio","cdH","1635.jpg","Carlo","Di Antonio","1962-07-12","Dour","Walloon Government"
"237","jeanclaudemarcourt","PS","176.jpg","Jean-Claude","Marcourt","1956-10-16","Liège","Walloon Government"
"238","jenamarcnollet","ECOLO","177.jpg","Jean-Marc","Nollet","1970-01-07","Charleroi","Federal Chamber of Representatives"
"242","mohamedazzouzi","PS","180.jpg","Mohamed","Azzouzi","1962-07-18","Saint-Josse-ten-Node","Brussels Parliament"
"243","francoisebertieaux","MR","181.jpg","Françoise","Bertieaux","1958-09-17","Etterbeek","Alderman (or Chair of CPAS)"
"244","sfiabouarfa","PS","182.jpg","Sfia","Bouarfa","1950-10-14","",""
"245","dominiquebraeckman","ECOLO","183.jpg","Dominique","Braeckman","1956-03-03","",\N
"246","daniellecaron","MR","1237.jpg","Danielle","Caron","1961-04-15","Woluwe-Saint-Lambert",""
"247","michelecarthe","PS","185.jpg","Michèle","Carthé","1951-05-19","Ganshoren","Alderman (or Chair of CPAS)"
"248","benoitcerexhe","cdH","186.jpg","Benoît","Cerexhe","1962-06-18","Woluwe-Saint-Pierre","Mayor"
"249","mohammadichahid","PS","187.jpg","Mohammadi","Chahid","1952-02-10","",\N
"250","philippeclose","PS","188.jpg","Philippe","Close","1971-03-18","Bruxelles","Alderman (or Chair of CPAS)"
"251","michelcolson","DéFI","2682.jpg","Michel","Colson","1957-08-19","Watermael-Boitsfort","Brussels Parliament"
"252","mohameddaif","PS","190.jpg","Mohamed","Daïf","1956-01-01","Molenbeek-Saint-Jean",\N
"253","emmanueldebock","DéFI","1189.jpg","Emmanuel","De Bock","1976-07-30","Uccle","Province or municipal councillor"
"254","olivierdeclippele","MR","192.jpg","Olivier","de Clippele","1959-04-13","Ixelles","Brussels Parliament"
"257","vincentdewolf","MR","558.jpg","Vincent","De Wolf","1958-03-06","Etterbeek","Mayor"
"258","jeanclaudedefosse","ECOLO","195.jpg","Jean-Claude","Defossé","1941-03-16","Schaerbeek",\N
"259","celinedelforge","ECOLO","196.jpg","Céline","Delforge","1976-10-29","Ixelles","Brussels Parliament"
"261","alaindestexhe","MR","198.jpg","Alain","Destexhe","1958-06-19","Auderghem","Province or municipal councillor"
"262","beadiallo","PS","199.jpg","Lansana (Béa)","Diallo","1971-07-07","Ixelles","Alderman (or Chair of CPAS)"
"263","annedirix","ECOLO","200.jpg","Anne","Dirix","1949-12-02","Watermael-Boitsfort",\N
"264","hervedoyen","cdH","1638.jpg","Hervé","Doyen","1956-11-20","Jette","Mayor"
"265","willemdraps","MR","202.jpg","Willem","Draps","1952-05-03","Woluwe-Saint-Pierre","Brussels Parliament"
"266","francoisedupuis","PS","203.jpg","Françoise","Dupuis","1949-07-18","",""
"267","annecharlottedursel","MR","204.jpg","Anne-Charlotte","d'Ursel","1967-11-29","Woluwe-Saint-Pierre","Brussels Parliament"
"268","ahmedelkhannouss","cdH","205.jpg","Ahmed","El Khannouss","1968-01-26","Molenbeek-Saint-Jean","Alderman (or Chair of CPAS)"
"269","ahmedelktibi","PS","206.jpg","Ahmed","El Ktibi","1954-11-23","Bruxelles","Alderman (or Chair of CPAS)"
"270","nadiaelyousfi","PS","207.jpg","Nadia","El Yousfi","1965-02-01","Forest","Belgian Senate"
"271","hamzafassifihri","cdH","208.jpg","Hamza","Fassi-Fihri","1976-06-25","Bruxelles","Parliament of the French Community"
"272","beatricefraiteur","DéFI","209.jpg","Béatrice","Fraiteur","1956-06-28","Uccle",\N
"273","didiergosuin","DéFI","210.jpg","Didier","Gosuin","1952-07-09","Auderghem","Brussels Goverment"
"274","anneherscovici","ECOLO","211.jpg","Anne","Herscovici","1949-12-25","Ixelles",""
"276","jamalikazban","PS","213.jpg","Jamal","Ikazban","1970-12-02","Molenbeek-Saint-Jean","Parliament of the French Community"
"277","cecilejodogne","DéFI","214.jpg","Cécile","Jodogne","1964-04-01","Schaerbeek","Brussels Goverment"
"279","marionlemesre","MR","216.jpg","Marion","Lemesre","1954-07-22","Bruxelles","Alderman (or Chair of CPAS)"
"280","vincentlurquin","ECOLO","217.jpg","Vincent","Lurquin","1959-06-22","Bruxelles",\N
"281","giselemandaila","DéFI","218.jpg","Gisèle","Mandaila","1969-09-04","Etterbeek",\N
"282","alainmaron","ECOLO","219.jpg","Alain","Maron","1972-05-06","Saint-Gilles","Province or municipal councillor"
"283","pierremigisha","cdH","220.jpg","Pierre","Migisha","1971-08-26","Anderlecht",\N
"284","isabellemolenberg","DéFI","221.jpg","Isabelle","Molenberg","1970-02-21","Woluwe-Saint-Lambert",\N
"285","jacquesmorel","ECOLO","222.jpg","Jacques","Morel","1948-06-09","Schaerbeek",\N
