"215","olivierchastel","MR","887","Olivier","Chastel","1964-11-22","Charleroi","Chair of a party"
"216","philippecourard","PS","155","Philippe","Courard","1966-09-02","Hotton","Chambre fédérale des Représentants"
"217","eliodirupo","PS","156","Elio","Di Rupo","1951-07-18","Mons","Chair of a party"
"218","jeanpascallabille","PS","157","Jean-Pascal","Labille","1961-02-23","Liège",""
"219","sabinelaruelle","MR","158","Sabine","Laruelle","1965-06-02","Gembloux",""
"222","didierreynders","MR","2391","Didier","Reynders","1958-08-06","Uccle","Federal Goverment"
"223","melchiorwathelet","cdH","1439","Melchior","Wathelet","1977-09-30","Verviers",""
"224","hendrikbogaert","CD&V","163","Hendrik","Bogaert","1968-08-30","Jabbeke","Federal Chamber of Representatives"
"227","monicadeconinck","sp.a","166","Monica","De Coninck","1956-03-21","Ekeren","Federale Kamer van Volksvertegenwoordigers"
"228","pieterdecrem","CD&V","575","Pieter","De Crem","1962-07-22","Aalter","Federal Goverment"
"229","alexanderdecroo","Open VLD","168","Alexander","De Croo","1975-11-03","Brakel","Federal Goverment"
"232","servaisverherstraeten","CD&V","171","Servais","Verherstraeten","1960-01-29","Mol","Federal Chamber of Representatives"
"233","andreantoine","cdH","1636","André","Antoine","1960-02-03","Perwez","Chair of a parliament"
"234","rudydemotte","PS","173","Rudy","Demotte","1963-06-03","Tournai","Government of the Federation Wallonia-Brussels"
"235","carlodiantonio","cdH","1635","Carlo","Di Antonio","1962-07-12","Dour","Walloon Government"
"237","jeanclaudemarcourt","PS","176","Jean-Claude","Marcourt","1956-10-16","Liège","Walloon Government"
"238","jenamarcnollet","ECOLO","177","Jean-Marc","Nollet","1970-01-07","Charleroi","Federal Chamber of Representatives"
"242","mohamedazzouzi","PS","180","Mohamed","Azzouzi","1962-07-18","Saint-Josse-ten-Node","Brussels Parliament"
"243","francoisebertieaux","MR","181","Françoise","Bertieaux","1958-09-17","Etterbeek","Alderman (or Chair of CPAS)"
"244","sfiabouarfa","PS","182","Sfia","Bouarfa","1950-10-14","",""
"245","dominiquebraeckman","ECOLO","183","Dominique","Braeckman","1956-03-03","",\N
"246","daniellecaron","MR","1237","Danielle","Caron","1961-04-15","Woluwe-Saint-Lambert",""
"247","michelecarthe","PS","185","Michèle","Carthé","1951-05-19","Ganshoren","Alderman (or Chair of CPAS)"
"248","benoitcerexhe","cdH","186","Benoît","Cerexhe","1962-06-18","Woluwe-Saint-Pierre","Mayor"
"249","mohammadichahid","PS","187","Mohammadi","Chahid","1952-02-10","",\N
"250","philippeclose","PS","188","Philippe","Close","1971-03-18","Bruxelles","Alderman (or Chair of CPAS)"
"251","michelcolson","DéFI","2682","Michel","Colson","1957-08-19","Watermael-Boitsfort","Brussels Parliament"
"252","mohameddaif","PS","190","Mohamed","Daïf","1956-01-01","Molenbeek-Saint-Jean",\N
"253","emmanueldebock","DéFI","1189","Emmanuel","De Bock","1976-07-30","Uccle","Province or municipal councillor"
"254","olivierdeclippele","MR","192","Olivier","de Clippele","1959-04-13","Ixelles","Brussels Parliament"
"257","vincentdewolf","MR","558","Vincent","De Wolf","1958-03-06","Etterbeek","Mayor"
"258","jeanclaudedefosse","ECOLO","195","Jean-Claude","Defossé","1941-03-16","Schaerbeek",\N
"259","celinedelforge","ECOLO","196","Céline","Delforge","1976-10-29","Ixelles","Brussels Parliament"
"261","alaindestexhe","MR","198","Alain","Destexhe","1958-06-19","Auderghem","Province or municipal councillor"
"262","beadiallo","PS","199","Lansana (Béa)","Diallo","1971-07-07","Ixelles","Alderman (or Chair of CPAS)"
"263","annedirix","ECOLO","200","Anne","Dirix","1949-12-02","Watermael-Boitsfort",\N
"264","hervedoyen","cdH","1638","Hervé","Doyen","1956-11-20","Jette","Mayor"
